"SpeciesId","CU","CU_Name","BroodYear","Escape","TR2","TR3","TR4","TR5","TR6","TR7","Total","Total.ER","Age2","Age3","Age4","Age5","Age6","Age7","CU_index_2"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2005,211852.4807,NA,15798.85669,154859.2076,14117.63532,779.7270663,0,185555.4267,0.22126018,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2006,210112.2776,NA,36306.43167,112865.7516,38290.01952,601.8986069,0,188064.1014,0.197846209,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2007,131093.1028,NA,26461.14985,306115.8426,29557.40592,884.0905188,0,363018.4889,0.174930236,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2008,89013.55366,NA,71768.24741,236301.5306,43414.99056,634.129571,0,352118.8981,0.030245469,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2009,192672.8911,NA,55400.42151,347088.2644,31140.17032,1953.408816,0,435582.265,0.086584484,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2010,147848.9306,NA,81374.14978,248955.2003,95925.9527,462.103056,0,426717.4058,0.03829735,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2011,354217.7213,NA,58367.04907,766895.7658,22692.47253,418.7248524,0,848374.0123,0.150488463,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2012,241620.7904,NA,179797.1793,181418.6944,20562.30117,353.354531,0,382131.5295,0.249323935,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2013,273577.0996,NA,42533.25027,164388.69,17352.16395,444.1067117,0,224718.211,0.421338465,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2014,268426.0408,NA,38540.59978,138724.7214,21808.72692,90.63630438,0,199164.6844,0.208431968,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
