SpeciesId,CU,CU_Name,BroodYear,Escape,TR2,TR3,TR4,TR5,TR6,TR7,Total,Total ER,Age2,Age3,Age4,Age5,Age6,Age7
CM,CM_12,Smith Inlet,2001,95414.83322,NA,48167.63115,18967.17806,3624.765657,0,0,70759.57487,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2002,132794.85,NA,18150.16647,34833.35902,1560.523865,0,0,54544.04936,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2003,116317.3205,NA,33332.91136,14996.35926,1218.206397,0,0,49547.47702,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2004,103742.475,NA,14350.39078,11706.74874,1501.537012,0,0,27558.67653,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2005,39091.46344,NA,11202.4803,14429.50601,398.0479088,0,0,26030.03422,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2006,71791.75396,NA,13807.95474,3825.170238,802.7796533,0,0,18435.90463,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2007,30907.58298,NA,3660.400952,7714.570961,836.1608384,0,0,12211.13275,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2008,24127.67672,NA,7382.265657,8035.358265,2022.168977,0,NA,17439.7929,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2009,29739.29516,NA,7689.235042,19432.68741,880.1693036,NA,0,28002.09176,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2010,7883.697936,NA,18595.624,8458.271858,NA,0,NA,27053.89586,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2011,15899.77527,NA,8093.931623,NA,411.475553,NA,NA,8505.407176,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2012,16560.91975,NA,NA,3954.207532,NA,NA,NA,3954.207532,0,NA,0.4643,0.4852,0.05049,0,0
