,Yr,Area,River,Spawners,Returns,Recruits,Expl,Catch
343,1952,12,BLIND CREEK,NA,NA,NA,NA,NA
344,1953,12,BLIND CREEK,NA,NA,NA,NA,NA
345,1954,12,BLIND CREEK,NA,NA,NA,NA,NA
346,1955,12,BLIND CREEK,NA,NA,NA,NA,NA
347,1956,12,BLIND CREEK,NA,NA,NA,NA,NA
348,1957,12,BLIND CREEK,NA,NA,NA,NA,NA
349,1958,12,BLIND CREEK,NA,NA,NA,NA,NA
350,1959,12,BLIND CREEK,NA,NA,NA,NA,NA
351,1960,12,BLIND CREEK,NA,NA,NA,NA,NA
352,1961,12,BLIND CREEK,NA,NA,NA,NA,NA
353,1962,12,BLIND CREEK,NA,NA,NA,NA,NA
354,1963,12,BLIND CREEK,NA,NA,NA,NA,NA
355,1964,12,BLIND CREEK,NA,NA,NA,NA,NA
356,1965,12,BLIND CREEK,NA,NA,NA,NA,NA
357,1966,12,BLIND CREEK,NA,NA,NA,NA,NA
358,1967,12,BLIND CREEK,NA,NA,NA,NA,NA
359,1968,12,BLIND CREEK,NA,NA,NA,NA,NA
360,1969,12,BLIND CREEK,NA,NA,NA,NA,NA
361,1970,12,BLIND CREEK,NA,NA,NA,NA,NA
362,1971,12,BLIND CREEK,NA,NA,NA,NA,NA
363,1972,12,BLIND CREEK,NA,NA,NA,NA,NA
364,1973,12,BLIND CREEK,NA,NA,NA,NA,NA
365,1974,12,BLIND CREEK,NA,NA,NA,NA,NA
366,1975,12,BLIND CREEK,NA,NA,NA,NA,NA
367,1976,12,BLIND CREEK,NA,NA,NA,NA,NA
368,1977,12,BLIND CREEK,NA,NA,NA,NA,NA
369,1978,12,BLIND CREEK,NA,NA,NA,NA,NA
370,1979,12,BLIND CREEK,NA,NA,NA,NA,NA
371,1980,12,BLIND CREEK,NA,NA,NA,NA,NA
372,1981,12,BLIND CREEK,NA,NA,NA,NA,NA
373,1982,12,BLIND CREEK,NA,NA,NA,NA,NA
374,1983,12,BLIND CREEK,NA,NA,NA,NA,NA
375,1984,12,BLIND CREEK,NA,NA,NA,NA,NA
376,1985,12,BLIND CREEK,NA,NA,NA,NA,NA
377,1986,12,BLIND CREEK,NA,NA,NA,NA,NA
378,1987,12,BLIND CREEK,NA,NA,NA,NA,NA
379,1988,12,BLIND CREEK,NA,NA,NA,NA,NA
380,1989,12,BLIND CREEK,NA,NA,NA,NA,NA
381,1990,12,BLIND CREEK,NA,NA,NA,NA,NA
382,1991,12,BLIND CREEK,NA,NA,NA,NA,NA
383,1992,12,BLIND CREEK,NA,NA,NA,NA,NA
384,1993,12,BLIND CREEK,NA,NA,NA,NA,NA
385,1994,12,BLIND CREEK,NA,NA,NA,NA,NA
386,1995,12,BLIND CREEK,NA,NA,NA,NA,NA
387,1996,12,BLIND CREEK,NA,NA,NA,NA,NA
388,1997,12,BLIND CREEK,NA,NA,NA,NA,NA
389,1998,12,BLIND CREEK,100,NA,NA,NA,NA
390,1999,12,BLIND CREEK,NA,NA,NA,NA,NA
391,2000,12,BLIND CREEK,NA,NA,NA,NA,NA
392,2001,12,BLIND CREEK,NA,NA,NA,NA,NA
393,2002,12,BLIND CREEK,NA,NA,NA,NA,NA
394,2003,12,BLIND CREEK,NA,NA,NA,NA,NA
395,2004,12,BLIND CREEK,NA,NA,NA,NA,NA
396,2005,12,BLIND CREEK,NA,NA,NA,NA,NA
397,2006,12,BLIND CREEK,NA,NA,NA,NA,NA
398,2007,12,BLIND CREEK,NA,NA,NA,NA,NA
399,2008,12,BLIND CREEK,NA,NA,NA,NA,NA
400,2009,12,BLIND CREEK,NA,NA,NA,NA,NA
401,2010,12,BLIND CREEK,NA,NA,NA,NA,NA
402,2011,12,BLIND CREEK,NA,NA,NA,NA,NA
403,2012,12,BLIND CREEK,NA,NA,NA,NA,NA
404,2013,12,BLIND CREEK,NA,NA,NA,NA,NA
405,2014,12,BLIND CREEK,NA,NA,NA,NA,NA
406,2015,12,BLIND CREEK,NA,NA,NA,NA,NA
407,2016,12,BLIND CREEK,NA,NA,NA,NA,NA
408,2017,12,BLIND CREEK,NA,NA,NA,NA,NA
409,1950,12,BOND RIVER NO. 1,NA,NA,NA,NA,NA
410,1951,12,BOND RIVER NO. 1,NA,NA,NA,NA,NA
411,1952,12,BOND RIVER NO. 1,NA,NA,NA,NA,NA
412,1953,12,BOND RIVER NO. 1,NA,NA,NA,NA,NA
413,1954,12,BOND RIVER NO. 1,NA,NA,NA,NA,NA
