,Yr,Area,River,Spawners,Returns,Recruits,Expl,Catch
3255,2008,12,MARION CREEK,NA,NA,NA,NA,NA
3256,2009,12,MARION CREEK,NA,NA,NA,NA,NA
3257,2010,12,MARION CREEK,NA,NA,NA,NA,NA
3258,2011,12,MARION CREEK,NA,NA,NA,NA,NA
3259,2012,12,MARION CREEK,NA,NA,NA,NA,NA
3260,2013,12,MARION CREEK,NA,NA,NA,NA,NA
3261,2014,12,MARION CREEK,NA,NA,NA,NA,NA
3262,2015,12,MARION CREEK,NA,NA,NA,NA,NA
3263,2016,12,MARION CREEK,NA,NA,NA,NA,NA
3264,2017,12,MARION CREEK,NA,NA,NA,NA,NA
3265,1950,12,MATSIU CREEK,NA,NA,NA,NA,NA
3266,1951,12,MATSIU CREEK,NA,NA,NA,NA,NA
3267,1952,12,MATSIU CREEK,NA,NA,NA,NA,NA
3268,1953,12,MATSIU CREEK,NA,NA,NA,NA,NA
3269,1954,12,MATSIU CREEK,NA,NA,NA,NA,NA
3270,1955,12,MATSIU CREEK,NA,NA,NA,NA,NA
3271,1956,12,MATSIU CREEK,NA,NA,NA,NA,NA
3272,1957,12,MATSIU CREEK,NA,NA,NA,NA,NA
3273,1958,12,MATSIU CREEK,NA,NA,NA,NA,NA
3274,1959,12,MATSIU CREEK,NA,NA,NA,NA,NA
3275,1960,12,MATSIU CREEK,NA,NA,NA,NA,NA
3276,1961,12,MATSIU CREEK,NA,NA,NA,NA,NA
3277,1962,12,MATSIU CREEK,NA,NA,NA,NA,NA
3278,1963,12,MATSIU CREEK,NA,NA,NA,NA,NA
3279,1964,12,MATSIU CREEK,NA,NA,NA,NA,NA
3280,1965,12,MATSIU CREEK,NA,NA,NA,NA,NA
3281,1966,12,MATSIU CREEK,NA,NA,NA,NA,NA
3282,1967,12,MATSIU CREEK,NA,NA,NA,NA,NA
3283,1968,12,MATSIU CREEK,NA,NA,NA,NA,NA
3284,1969,12,MATSIU CREEK,NA,NA,NA,NA,NA
3285,1970,12,MATSIU CREEK,NA,NA,NA,NA,NA
3286,1971,12,MATSIU CREEK,NA,NA,NA,NA,NA
3287,1972,12,MATSIU CREEK,NA,NA,NA,NA,NA
3288,1973,12,MATSIU CREEK,NA,NA,NA,NA,NA
3289,1974,12,MATSIU CREEK,NA,NA,NA,NA,NA
3290,1975,12,MATSIU CREEK,NA,NA,NA,NA,NA
3291,1976,12,MATSIU CREEK,NA,NA,NA,NA,NA
3292,1977,12,MATSIU CREEK,NA,NA,NA,NA,NA
3293,1978,12,MATSIU CREEK,NA,NA,NA,NA,NA
3294,1979,12,MATSIU CREEK,NA,NA,NA,NA,NA
3295,1980,12,MATSIU CREEK,NA,NA,NA,NA,NA
3296,1981,12,MATSIU CREEK,NA,NA,NA,NA,NA
3297,1982,12,MATSIU CREEK,NA,NA,NA,NA,NA
3298,1983,12,MATSIU CREEK,NA,NA,NA,NA,NA
3299,1984,12,MATSIU CREEK,NA,NA,NA,NA,NA
3300,1985,12,MATSIU CREEK,NA,NA,NA,NA,NA
3301,1986,12,MATSIU CREEK,NA,NA,NA,NA,NA
3302,1987,12,MATSIU CREEK,NA,NA,NA,NA,NA
3303,1988,12,MATSIU CREEK,NA,NA,NA,NA,NA
3304,1989,12,MATSIU CREEK,NA,NA,NA,NA,NA
3305,1990,12,MATSIU CREEK,NA,NA,NA,NA,NA
3306,1991,12,MATSIU CREEK,NA,NA,NA,NA,NA
3307,1992,12,MATSIU CREEK,NA,NA,NA,NA,NA
3308,1993,12,MATSIU CREEK,NA,NA,NA,NA,NA
3309,1994,12,MATSIU CREEK,24,NA,NA,NA,NA
3310,1995,12,MATSIU CREEK,NA,NA,NA,NA,NA
3311,1996,12,MATSIU CREEK,4,NA,NA,NA,NA
3312,1997,12,MATSIU CREEK,NA,NA,NA,NA,NA
3313,1998,12,MATSIU CREEK,25,NA,NA,NA,NA
3314,1999,12,MATSIU CREEK,NA,NA,NA,NA,NA
3315,2000,12,MATSIU CREEK,NA,NA,NA,NA,NA
3316,2001,12,MATSIU CREEK,NA,NA,NA,NA,NA
3317,2002,12,MATSIU CREEK,NA,NA,NA,NA,NA
3318,2003,12,MATSIU CREEK,NA,NA,NA,NA,NA
3319,2004,12,MATSIU CREEK,NA,NA,NA,NA,NA
3320,2005,12,MATSIU CREEK,142,NA,NA,NA,NA
3321,2006,12,MATSIU CREEK,NA,NA,NA,NA,NA
3322,2007,12,MATSIU CREEK,NA,NA,NA,NA,NA
3323,2008,12,MATSIU CREEK,NA,NA,NA,NA,NA
3324,2009,12,MATSIU CREEK,NA,NA,NA,NA,NA
3325,2010,12,MATSIU CREEK,NA,NA,NA,NA,NA
3326,2011,12,MATSIU CREEK,NA,NA,NA,NA,NA
3327,2012,12,MATSIU CREEK,NA,NA,NA,NA,NA
3328,2013,12,MATSIU CREEK,NA,NA,NA,NA,NA
3329,2014,12,MATSIU CREEK,NA,NA,NA,NA,NA
3330,2015,12,MATSIU CREEK,NA,NA,NA,NA,NA
3331,2016,12,MATSIU CREEK,NA,NA,NA,NA,NA
3332,2017,12,MATSIU CREEK,NA,NA,NA,NA,NA
3333,1950,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3334,1951,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3335,1952,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3336,1953,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3337,1954,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3338,1955,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3339,1956,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3340,1957,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3341,1958,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3342,1959,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3343,1960,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3344,1961,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3345,1962,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3346,1963,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3347,1964,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3348,1965,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3349,1966,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3350,1967,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3351,1968,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3352,1969,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3353,1970,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3354,1971,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3355,1972,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3356,1973,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3357,1974,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3358,1975,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3359,1976,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3360,1977,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3361,1978,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3362,1979,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3363,1980,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3364,1981,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3365,1982,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3366,1983,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3367,1984,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3368,1985,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3369,1986,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3370,1987,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3371,1988,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3372,1989,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3373,1990,12,MCALISTER CREEK,100,NA,NA,NA,NA
3374,1991,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3375,1992,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3376,1993,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3377,1994,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3378,1995,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3379,1996,12,MCALISTER CREEK,6,NA,NA,NA,NA
3380,1997,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3381,1998,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3382,1999,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3383,2000,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3384,2001,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3385,2002,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3386,2003,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3387,2004,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3388,2005,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3389,2006,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3390,2007,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3391,2008,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3392,2009,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3393,2010,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3394,2011,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3395,2012,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3396,2013,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3397,2014,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3398,2015,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3399,2016,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3400,2017,12,MCALISTER CREEK,NA,NA,NA,NA,NA
3401,1950,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3402,1951,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3403,1952,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3404,1953,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3405,1954,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3406,1955,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3407,1956,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3408,1957,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3409,1958,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3410,1959,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3411,1960,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3412,1961,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3413,1962,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3414,1963,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3415,1964,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3416,1965,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3417,1966,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3418,1967,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3419,1968,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3420,1969,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3421,1970,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3422,1971,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3423,1972,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3424,1973,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3425,1974,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3426,1975,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3427,1976,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3428,1977,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3429,1978,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3430,1979,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3431,1980,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3432,1981,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3433,1982,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3434,1983,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3435,1984,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3436,1985,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3437,1986,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3438,1987,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3439,1988,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3440,1989,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3441,1990,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3442,1991,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3443,1992,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3444,1993,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3445,1994,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3446,1995,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3447,1996,12,MCINTOSH CREEK,2,NA,NA,NA,NA
3448,1997,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3449,1998,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3450,1999,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3451,2000,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3452,2001,12,MCINTOSH CREEK,20,NA,NA,NA,NA
3453,2002,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3454,2003,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3455,2004,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3456,2005,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3457,2006,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3458,2007,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3459,2008,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3460,2009,12,MCINTOSH CREEK,4,NA,NA,NA,NA
3461,2010,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3462,2011,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3463,2012,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3464,2013,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3465,2014,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3466,2015,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3467,2016,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3468,2017,12,MCINTOSH CREEK,NA,NA,NA,NA,NA
3469,1950,12,MILLS CREEK,NA,NA,NA,NA,NA
3470,1951,12,MILLS CREEK,NA,NA,NA,NA,NA
3471,1952,12,MILLS CREEK,NA,NA,NA,NA,NA
3472,1953,12,MILLS CREEK,750,NA,NA,NA,NA
3473,1954,12,MILLS CREEK,1500,NA,NA,NA,NA
3474,1955,12,MILLS CREEK,1500,NA,NA,NA,NA
3475,1956,12,MILLS CREEK,750,NA,NA,NA,NA
3476,1957,12,MILLS CREEK,1500,NA,NA,NA,NA
3477,1958,12,MILLS CREEK,1500,NA,NA,NA,NA
3478,1959,12,MILLS CREEK,75,NA,NA,NA,NA
3479,1960,12,MILLS CREEK,400,NA,NA,NA,NA
3480,1961,12,MILLS CREEK,1500,NA,NA,NA,NA
3481,1962,12,MILLS CREEK,750,NA,NA,NA,NA
3482,1963,12,MILLS CREEK,75,NA,NA,NA,NA
3483,1964,12,MILLS CREEK,1500,NA,NA,NA,NA
3484,1965,12,MILLS CREEK,750,NA,NA,NA,NA
3485,1966,12,MILLS CREEK,3500,NA,NA,NA,NA
3486,1967,12,MILLS CREEK,3500,NA,NA,NA,NA
3487,1968,12,MILLS CREEK,75,NA,NA,NA,NA
3488,1969,12,MILLS CREEK,25,NA,NA,NA,NA
3489,1970,12,MILLS CREEK,400,NA,NA,NA,NA
3490,1971,12,MILLS CREEK,200,NA,NA,NA,NA
3491,1972,12,MILLS CREEK,70,NA,556,NA,NA
3492,1973,12,MILLS CREEK,50,NA,6250,NA,NA
3493,1974,12,MILLS CREEK,NA,NA,NA,NA,NA
3494,1975,12,MILLS CREEK,200,556,NA,0.64028777,128.057554
3495,1976,12,MILLS CREEK,500,6250,54,0.92,460
3496,1977,12,MILLS CREEK,200,NA,NA,NA,NA
3497,1978,12,MILLS CREEK,NA,NA,NA,NA,NA
3498,1979,12,MILLS CREEK,15,54,NA,0.722222222,10.83333333
3499,1980,12,MILLS CREEK,NA,NA,NA,NA,NA
3500,1981,12,MILLS CREEK,NA,NA,NA,NA,NA
3501,1982,12,MILLS CREEK,NA,NA,NA,NA,NA
3502,1983,12,MILLS CREEK,NA,NA,NA,NA,NA
3503,1984,12,MILLS CREEK,NA,NA,NA,NA,NA
3504,1985,12,MILLS CREEK,NA,NA,NA,NA,NA
3505,1986,12,MILLS CREEK,25,NA,76,NA,NA
3506,1987,12,MILLS CREEK,NA,NA,NA,NA,NA
3507,1988,12,MILLS CREEK,350,NA,1875,NA,NA
3508,1989,12,MILLS CREEK,25,76,NA,0.671052632,16.77631579
3509,1990,12,MILLS CREEK,250,NA,1000,NA,NA
3510,1991,12,MILLS CREEK,600,1875,3846,0.68,408
3511,1992,12,MILLS CREEK,NA,NA,NA,NA,NA
3512,1993,12,MILLS CREEK,250,1000,3488,0.75,187.5
3513,1994,12,MILLS CREEK,1000,3846,88,0.7399896,739.9895996
3514,1995,12,MILLS CREEK,1000,NA,4124,NA,NA
3515,1996,12,MILLS CREEK,1500,3488,NA,0.569954128,854.9311927
3516,1997,12,MILLS CREEK,50,88,21,0.431818182,21.59090909
3517,1998,12,MILLS CREEK,4000,4124,NA,0.030067895,120.271581
3518,1999,12,MILLS CREEK,NA,NA,NA,NA,NA
3519,2000,12,MILLS CREEK,20,21,469,0.047619048,0.952380952
3520,2001,12,MILLS CREEK,NA,NA,NA,NA,NA
3521,2002,12,MILLS CREEK,1000,NA,NA,NA,NA
3522,2003,12,MILLS CREEK,450,469,NA,0.040511727,18.23027719
3523,2004,12,MILLS CREEK,500,NA,NA,NA,NA
3524,2005,12,MILLS CREEK,NA,NA,NA,NA,NA
3525,2006,12,MILLS CREEK,NA,NA,NA,NA,NA
3526,2007,12,MILLS CREEK,NA,NA,NA,NA,NA
3527,2008,12,MILLS CREEK,NA,NA,NA,NA,NA
3528,2009,12,MILLS CREEK,NA,NA,NA,NA,NA
3529,2010,12,MILLS CREEK,NA,NA,NA,NA,NA
3530,2011,12,MILLS CREEK,NA,NA,NA,NA,NA
3531,2012,12,MILLS CREEK,NA,NA,NA,NA,NA
3532,2013,12,MILLS CREEK,NA,NA,NA,NA,NA
3533,2014,12,MILLS CREEK,NA,NA,NA,NA,NA
3534,2015,12,MILLS CREEK,NA,NA,NA,NA,NA
3535,2016,12,MILLS CREEK,NA,NA,NA,NA,NA
3536,2017,12,MILLS CREEK,NA,NA,NA,NA,NA
3537,1950,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3538,1951,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3539,1952,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3540,1953,12,NAHWITTI RIVER,200,NA,NA,NA,NA
3541,1954,12,NAHWITTI RIVER,1500,NA,NA,NA,NA
3542,1955,12,NAHWITTI RIVER,1500,NA,NA,NA,NA
3543,1956,12,NAHWITTI RIVER,1500,NA,NA,NA,NA
3544,1957,12,NAHWITTI RIVER,1500,NA,NA,NA,NA
3545,1958,12,NAHWITTI RIVER,1500,NA,NA,NA,NA
3546,1959,12,NAHWITTI RIVER,750,NA,NA,NA,NA
3547,1960,12,NAHWITTI RIVER,1500,NA,NA,NA,NA
3548,1961,12,NAHWITTI RIVER,1500,NA,NA,NA,NA
3549,1962,12,NAHWITTI RIVER,3500,NA,NA,NA,NA
3550,1963,12,NAHWITTI RIVER,400,NA,NA,NA,NA
3551,1964,12,NAHWITTI RIVER,3500,NA,NA,NA,NA
3552,1965,12,NAHWITTI RIVER,3500,NA,NA,NA,NA
3553,1966,12,NAHWITTI RIVER,3500,NA,NA,NA,NA
3554,1967,12,NAHWITTI RIVER,750,NA,NA,NA,NA
3555,1968,12,NAHWITTI RIVER,400,NA,NA,NA,NA
3556,1969,12,NAHWITTI RIVER,750,NA,NA,NA,NA
3557,1970,12,NAHWITTI RIVER,7500,NA,NA,NA,NA
3558,1971,12,NAHWITTI RIVER,200,NA,NA,NA,NA
3559,1972,12,NAHWITTI RIVER,400,NA,417,NA,NA
3560,1973,12,NAHWITTI RIVER,1400,NA,10000,NA,NA
3561,1974,12,NAHWITTI RIVER,2000,NA,295,NA,NA
3562,1975,12,NAHWITTI RIVER,150,417,938,0.64028777,96.04316547
3563,1976,12,NAHWITTI RIVER,800,10000,NA,0.92,736
3564,1977,12,NAHWITTI RIVER,65,295,NA,0.779661017,50.6779661
3565,1978,12,NAHWITTI RIVER,225,938,NA,0.760127932,171.0287846
3566,1979,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3567,1980,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3568,1981,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3569,1982,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3570,1983,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3571,1984,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3572,1985,12,NAHWITTI RIVER,100,NA,2000,NA,NA
3573,1986,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3574,1987,12,NAHWITTI RIVER,25,NA,1538,NA,NA
3575,1988,12,NAHWITTI RIVER,500,2000,109,0.75,375
3576,1989,12,NAHWITTI RIVER,169,NA,174,NA,NA
3577,1990,12,NAHWITTI RIVER,400,1538,NA,0.739921977,295.9687906
3578,1991,12,NAHWITTI RIVER,35,109,1154,0.678899083,23.76146789
3579,1992,12,NAHWITTI RIVER,40,174,952,0.770114943,30.8045977
3580,1993,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3581,1994,12,NAHWITTI RIVER,300,1154,351,0.740034662,222.0103986
3582,1995,12,NAHWITTI RIVER,400,952,1701,0.579831933,231.9327731
3583,1996,12,NAHWITTI RIVER,500,NA,NA,NA,NA
3584,1997,12,NAHWITTI RIVER,200,351,NA,0.43019943,86.03988604
3585,1998,12,NAHWITTI RIVER,1950,1701,NA,-0.14638448,-285.4497354
3586,1999,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3587,2000,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3588,2001,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3589,2002,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3590,2003,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3591,2004,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3592,2005,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3593,2006,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3594,2007,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3595,2008,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3596,2009,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3597,2010,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3598,2011,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3599,2012,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3600,2013,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3601,2014,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3602,2015,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3603,2016,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3604,2017,12,NAHWITTI RIVER,NA,NA,NA,NA,NA
3605,1950,12,NAKA CREEK,NA,NA,NA,NA,NA
3606,1951,12,NAKA CREEK,NA,NA,NA,NA,NA
3607,1952,12,NAKA CREEK,NA,NA,NA,NA,NA
3608,1953,12,NAKA CREEK,NA,NA,NA,NA,NA
3609,1954,12,NAKA CREEK,NA,NA,NA,NA,NA
3610,1955,12,NAKA CREEK,NA,NA,NA,NA,NA
3611,1956,12,NAKA CREEK,NA,NA,NA,NA,NA
3612,1957,12,NAKA CREEK,NA,NA,NA,NA,NA
3613,1958,12,NAKA CREEK,NA,NA,NA,NA,NA
3614,1959,12,NAKA CREEK,NA,NA,NA,NA,NA
3615,1960,12,NAKA CREEK,NA,NA,NA,NA,NA
3616,1961,12,NAKA CREEK,NA,NA,NA,NA,NA
3617,1962,12,NAKA CREEK,NA,NA,NA,NA,NA
3618,1963,12,NAKA CREEK,NA,NA,NA,NA,NA
3619,1964,12,NAKA CREEK,NA,NA,NA,NA,NA
3620,1965,12,NAKA CREEK,NA,NA,NA,NA,NA
3621,1966,12,NAKA CREEK,NA,NA,NA,NA,NA
3622,1967,12,NAKA CREEK,NA,NA,NA,NA,NA
3623,1968,12,NAKA CREEK,NA,NA,NA,NA,NA
3624,1969,12,NAKA CREEK,NA,NA,NA,NA,NA
3625,1970,12,NAKA CREEK,NA,NA,NA,NA,NA
3626,1971,12,NAKA CREEK,NA,NA,NA,NA,NA
3627,1972,12,NAKA CREEK,NA,NA,NA,NA,NA
3628,1973,12,NAKA CREEK,NA,NA,NA,NA,NA
3629,1974,12,NAKA CREEK,NA,NA,NA,NA,NA
3630,1975,12,NAKA CREEK,NA,NA,NA,NA,NA
3631,1976,12,NAKA CREEK,NA,NA,NA,NA,NA
3632,1977,12,NAKA CREEK,NA,NA,NA,NA,NA
3633,1978,12,NAKA CREEK,NA,NA,NA,NA,NA
3634,1979,12,NAKA CREEK,NA,NA,NA,NA,NA
3635,1980,12,NAKA CREEK,NA,NA,NA,NA,NA
3636,1981,12,NAKA CREEK,NA,NA,NA,NA,NA
3637,1982,12,NAKA CREEK,NA,NA,NA,NA,NA
3638,1983,12,NAKA CREEK,NA,NA,NA,NA,NA
3639,1984,12,NAKA CREEK,NA,NA,NA,NA,NA
3640,1985,12,NAKA CREEK,NA,NA,NA,NA,NA
3641,1986,12,NAKA CREEK,NA,NA,NA,NA,NA
3642,1987,12,NAKA CREEK,NA,NA,NA,NA,NA
3643,1988,12,NAKA CREEK,NA,NA,NA,NA,NA
3644,1989,12,NAKA CREEK,NA,NA,NA,NA,NA
3645,1990,12,NAKA CREEK,NA,NA,NA,NA,NA
3646,1991,12,NAKA CREEK,NA,NA,NA,NA,NA
3647,1992,12,NAKA CREEK,NA,NA,NA,NA,NA
3648,1993,12,NAKA CREEK,NA,NA,NA,NA,NA
3649,1994,12,NAKA CREEK,NA,NA,NA,NA,NA
3650,1995,12,NAKA CREEK,NA,NA,NA,NA,NA
3651,1996,12,NAKA CREEK,NA,NA,NA,NA,NA
3652,1997,12,NAKA CREEK,NA,NA,NA,NA,NA
3653,1998,12,NAKA CREEK,NA,NA,NA,NA,NA
3654,1999,12,NAKA CREEK,NA,NA,NA,NA,NA
3655,2000,12,NAKA CREEK,NA,NA,NA,NA,NA
3656,2001,12,NAKA CREEK,NA,NA,NA,NA,NA
3657,2002,12,NAKA CREEK,NA,NA,NA,NA,NA
3658,2003,12,NAKA CREEK,NA,NA,NA,NA,NA
3659,2004,12,NAKA CREEK,NA,NA,NA,NA,NA
3660,2005,12,NAKA CREEK,NA,NA,NA,NA,NA
3661,2006,12,NAKA CREEK,NA,NA,NA,NA,NA
3662,2007,12,NAKA CREEK,NA,NA,NA,NA,NA
3663,2008,12,NAKA CREEK,NA,NA,NA,NA,NA
3664,2009,12,NAKA CREEK,NA,NA,NA,NA,NA
3665,2010,12,NAKA CREEK,NA,NA,NA,NA,NA
3666,2011,12,NAKA CREEK,NA,NA,NA,NA,NA
3667,2012,12,NAKA CREEK,NA,NA,NA,NA,NA
3668,2013,12,NAKA CREEK,NA,NA,NA,NA,NA
3669,2014,12,NAKA CREEK,NA,NA,NA,NA,NA
3670,2015,12,NAKA CREEK,NA,NA,NA,NA,NA
