"SpeciesId","CU","CU_Name","BroodYear","Escape","TR2","TR3","TR4","TR5","TR6","TR7","Total","Total.ER","Age2","Age3","Age4","Age5","Age6","Age7","CU_index_2"
"CO","CO_21","Rivers Inlet",1993,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1994,NA,NA,NA,75698.20043,NA,NA,NA,75698.20043,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1995,NA,NA,291979.2983,NA,NA,NA,0,291979.2983,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1996,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1997,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1998,335454.9235,NA,NA,13110.73857,NA,0,0,13110.73857,0.087647272,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1999,NA,NA,50570.08262,NA,0,0,NA,50570.08262,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2000,NA,NA,NA,19036.7991,0,NA,0,19036.7991,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2001,NA,NA,73427.78576,23756.02987,NA,0,0,97183.81563,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2002,58145.52008,NA,91630.56575,NA,0,0,0,91630.56575,0.086931708,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2003,NA,NA,NA,8936.152416,0,0,0,8936.152416,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2004,76577.10928,NA,34468.07847,8980.224364,0,0,0,43448.30283,0.17183056,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2005,100636.4771,NA,34638.07057,87640.30953,0,0,0,122278.3801,0.127840889,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2006,NA,NA,338041.802,21015.72163,0,0,0,359057.5237,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2007,38018.22466,NA,81060.7864,50268.21434,0,0,NA,131329.0007,0.124098188,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2008,38018.22466,NA,193892.0327,27697.20322,0,NA,NA,221589.2359,0.128396822,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2009,369000.4159,NA,106832.2617,22489.5585,NA,NA,NA,129321.8202,0.133163655,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2010,89454.64627,NA,86745.59596,NA,NA,NA,NA,86745.59596,0.123659758,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2011,212454.7849,NA,NA,NA,NA,NA,NA,NA,0.129863838,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2012,123000.1386,NA,NA,NA,NA,NA,NA,NA,0.085710267,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2013,98400.1109,NA,NA,NA,NA,NA,NA,NA,0.099199087,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_26","Mussel-Kynoch",1954,6789.750881,NA,742.1377447,358.9961864,9.719369728,0,0,1110.853301,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1955,5884.450763,NA,2172.769935,311.1300282,8.224082078,0,0,2492.124045,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1956,10184.62632,NA,1883.067277,263.2638701,17.94345181,0,0,2164.274598,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1957,579.7818634,NA,1593.364619,574.3938983,20.93402711,0,0,2188.692544,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1958,1697.43772,NA,3476.431895,670.1262147,27.17961419,0,0,4173.737724,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1959,1471.112691,NA,4055.837211,870.0558129,64.48383132,0,0,4990.376855,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1960,1244.787661,NA,5265.880762,2064.213711,154.6752099,0,0,7484.769683,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1961,2715.900352,NA,12493.34021,4951.360404,207.7635351,0,0,17652.46415,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
