"","Yr","Area","River","Spawners","Returns","Recruits","Expl"
"146",1959,12,"AHTA RIVER",400,NA,NA,NA
"147",1960,12,"AHTA RIVER",750,NA,NA,NA
"148",1961,12,"AHTA RIVER",750,NA,NA,NA
"149",1962,12,"AHTA RIVER",750,NA,NA,NA
"150",1963,12,"AHTA RIVER",400,NA,NA,NA
"151",1964,12,"AHTA RIVER",200,NA,NA,NA
"152",1965,12,"AHTA RIVER",400,NA,NA,NA
"153",1966,12,"AHTA RIVER",400,NA,NA,NA
"154",1967,12,"AHTA RIVER",200,NA,NA,NA
"155",1968,12,"AHTA RIVER",200,NA,NA,NA
"156",1969,12,"AHTA RIVER",NA,NA,NA,NA
"157",1970,12,"AHTA RIVER",NA,NA,NA,NA
"158",1971,12,"AHTA RIVER",25,NA,NA,NA
"159",1972,12,"AHTA RIVER",200,NA,NA,NA
"160",1973,12,"AHTA RIVER",200,NA,NA,NA
"161",1974,12,"AHTA RIVER",400,NA,NA,NA
"162",1975,12,"AHTA RIVER",40,NA,NA,NA
"163",1976,12,"AHTA RIVER",25,NA,NA,NA
"164",1977,12,"AHTA RIVER",25,NA,NA,NA
"165",1978,12,"AHTA RIVER",250,NA,NA,NA
"166",1979,12,"AHTA RIVER",600,NA,NA,NA
"167",1980,12,"AHTA RIVER",500,NA,NA,NA
"168",1981,12,"AHTA RIVER",200,NA,NA,NA
"169",1982,12,"AHTA RIVER",NA,NA,1535.45262981265,NA
"170",1983,12,"AHTA RIVER",NA,NA,379.703045926838,0.866057834110302
"171",1984,12,"AHTA RIVER",NA,NA,263.350705780658,0.775693911882616
"172",1985,12,"AHTA RIVER",300,1535.45262981265,222.531077130948,0.804617873469269
"173",1986,12,"AHTA RIVER",100,379.703045926838,165.674689554294,0.736636297568
"174",1987,12,"AHTA RIVER",100,263.350705780658,892.402497657562,0.620278215303934
"175",1988,12,"AHTA RIVER",75,222.531077130948,1282.83049284275,0.662968422357177
"176",1989,12,"AHTA RIVER",40,165.674689554294,1170.35549286048,0.758563000132309
"177",1990,12,"AHTA RIVER",400,892.402497657562,966.118075124867,0.551771761004763
"178",1991,12,"AHTA RIVER",500,1282.83049284275,1443.86342118341,0.610236891943533
"179",1992,12,"AHTA RIVER",180,1170.35549286048,1026.44640427353,0.846200576578609
"180",1993,12,"AHTA RIVER",125,966.118075124867,468.624538616149,0.870616228783584
"181",1994,12,"AHTA RIVER",450,1443.86342118341,42.6279707604236,0.688336172661556
"182",1995,12,"AHTA RIVER",600,1026.44640427353,300.175025494691,0.41545900740463
"183",1996,12,"AHTA RIVER",396,468.624538616149,301.755635673325,0.154973827940401
"184",1997,12,"AHTA RIVER",31,42.6279707604236,400.043572312118,0.272777956656083
"185",1998,12,"AHTA RIVER",300,300.175025494691,400.026328633481,0.000583078137170725
"186",1999,12,"AHTA RIVER",300,301.755635673325,83.0092052759508,0.00581807086852831
"187",2000,12,"AHTA RIVER",400,400.043572312118,26,0.000108918915671366
"188",2001,12,"AHTA RIVER",400,400.026328633481,444.036078469675,6.58172515066211e-05
"189",2002,12,"AHTA RIVER",83,83.0092052759508,337.535218957262,0.000110894640181671
"190",2003,12,"AHTA RIVER",26,26,35.001947369092,0
"191",2004,12,"AHTA RIVER",444,444.036078469675,17,8.1251212286391e-05
"192",2005,12,"AHTA RIVER",337,337.535218957262,41.0011354025968,0.00158566847902736
"193",2006,12,"AHTA RIVER",35,35.001947369092,51.0026485050701,5.56360213756606e-05
"194",2007,12,"AHTA RIVER",17,17,87.779547400139,0
"195",2008,12,"AHTA RIVER",41,41.0011354025968,911.008991102001,2.769197939731e-05
"196",2009,12,"AHTA RIVER",51,51.0026485050701,1067.08203893437,5.19287752240718e-05
"197",2010,12,"AHTA RIVER",87,87.779547400139,3034.91914641505,0.00888074071042353
"198",2011,12,"AHTA RIVER",898,911.008991102001,1705.59578639906,0.0142797614832157
"199",2012,12,"AHTA RIVER",1067,1067.08203893437,2850.65346365896,7.68815624118097e-05
"200",2013,12,"AHTA RIVER",2985,3034.91914641505,97.1971114608835,0.0164482623776054
"201",2014,12,"AHTA RIVER",1686,1705.59578639906,298.122133562578,0.0114891151557245
"202",2015,12,"AHTA RIVER",2812,2850.65346365896,NA,0.0135595098287899
"203",2016,12,"AHTA RIVER",97,97.1971114608835,NA,0.00202795595384339
